INFO:root:File: FileInfo(name='wheel-0.41.2', ext='virtualenv', is_dir=False, parent_dir='site-packages')
INFO:root:File: FileInfo(name='_virtualenv', ext='pth', is_dir=False, parent_dir='site-packages')
INFO:root:File: FileInfo(name='_virtualenv', ext='py', is_dir=False, parent_dir='site-packages')
INFO:root:Dir: FileInfo(name='dateparser', ext='', is_dir=True, parent_dir='site-packages')
INFO:root:Dir: FileInfo(name='dateparser-1.2.0.dist-info', ext='', is_dir=True, parent_dir='site-packages')
INFO:root:Dir: FileInfo(name='dateparser_cli', ext='', is_dir=True, parent_dir='site-packages')
INFO:root:Dir: FileInfo(name='dateparser_data', ext='', is_dir=True, parent_dir='site-packages')
INFO:root:Dir: FileInfo(name='dateparser_scripts', ext='', is_dir=True, parent_dir='site-packages')
INFO:root:Dir: FileInfo(name='dateutil', ext='', is_dir=True, parent_dir='site-packages')
INFO:root:Dir: FileInfo(name='pip', ext='', is_dir=True, parent_dir='site-packages')
INFO:root:Dir: FileInfo(name='pip-23.2.1.dist-info', ext='', is_dir=True, parent_dir='site-packages')
INFO:root:Dir: FileInfo(name='pkg_resources', ext='', is_dir=True, parent_dir='site-packages')
INFO:root:Dir: FileInfo(name='python_dateutil-2.9.0.post0.dist-info', ext='', is_dir=True, parent_dir='site-packages')
INFO:root:Dir: FileInfo(name='pytz', ext='', is_dir=True, parent_dir='site-packages')
INFO:root:Dir: FileInfo(name='pytz-2024.1.dist-info', ext='', is_dir=True, parent_dir='site-packages')
INFO:root:Dir: FileInfo(name='regex', ext='', is_dir=True, parent_dir='site-packages')
INFO:root:Dir: FileInfo(name='regex-2024.5.15.dist-info', ext='', is_dir=True, parent_dir='site-packages')
INFO:root:Dir: FileInfo(name='setuptools', ext='', is_dir=True, parent_dir='site-packages')
INFO:root:Dir: FileInfo(name='setuptools-68.2.0.dist-info', ext='', is_dir=True, parent_dir='site-packages')
INFO:root:Dir: FileInfo(name='six-1.16.0.dist-info', ext='', is_dir=True, parent_dir='site-packages')
INFO:root:Dir: FileInfo(name='tzdata', ext='', is_dir=True, parent_dir='site-packages')
INFO:root:Dir: FileInfo(name='tzdata-2024.1.dist-info', ext='', is_dir=True, parent_dir='site-packages')
INFO:root:Dir: FileInfo(name='tzlocal', ext='', is_dir=True, parent_dir='site-packages')
INFO:root:Dir: FileInfo(name='tzlocal-5.2.dist-info', ext='', is_dir=True, parent_dir='site-packages')
